"File","Change","Regression","Detail"
"pdf_a-2b\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t01-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.3 test 1"
"pdf_a-2b\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t01-fail-c.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.3 test 1"
"pdf_a-2b\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.4 test 2"
"pdf_a-2b\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.4 test 2"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.7.1 test 2"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t01-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.7.1 test 1 | ISO 19005-2:2011 clause 6.1.7.1 test 2"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.7.1 test 1 | ISO 19005-2:2011 clause 6.1.7.1 test 2"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t04-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t04-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.7.1 general\verapdf test suite 6-1-7-1-t04-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t01-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t02-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t03-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t03-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t03-fail-c.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t04-fail-a.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.1 file structure\6.1.9 indirect objects\verapdf test suite 6-1-9-t04-fail-b.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.1.9 test 1"
"pdf_a-2b\6.2 graphics\6.2.11 fonts\6.2.11.4 embedding\6.2.11.4.1 general\verapdf test suite 6-2-11-4-1-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-2b\6.2 graphics\6.2.2 content streams\verapdf test suite 6-2-2-t04-fail-f.pdf","NOW_COMPLIANT","False","removed: ISO 19005-2:2011 clause 6.2.2 test 2"
"pdf_a-4\6.1 file structure\6.1.11 permissions\verapdf test suite 6-1-11-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.11 permissions\verapdf test suite 6-1-11-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.12 document catalog dictionary\verapdf test suite 6-1-12-t01-pass-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-a.pdf","RULES_CHANGED","True","ADDED: ISO 19005-4:2020 clause 6.1.3 test 4 | ISO 19005-4:2020 clause 6.1.3 test 5"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.2 file header\verapdf test suite 6-1-2-t02-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t03-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t03-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t04-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t04-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t04-pass-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.3 file trailer\verapdf test suite 6-1-3-t05-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t02-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.4 cross reference table\verapdf test suite 6-1-4-t02-pass-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.5 string objects\verapdf test suite 6-1-5-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.5 string objects\verapdf test suite 6-1-5-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.5 string objects\verapdf test suite 6-1-5-t02-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.1 general\verapdf test suite 6-1-6-1-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.1 general\verapdf test suite 6-1-6-1-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.1 general\verapdf test suite 6-1-6-1-t02-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.1 general\verapdf test suite 6-1-6-1-t02-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.2 filters\verapdf test suite 6-1-6-2-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.6 stream objects\6.1.6.2 filters\verapdf test suite 6-1-6-2-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
